url,headword
http://www.stoa.org/sol-entries/alpha/1,"Ἂ ἄ"
http://www.stoa.org/sol-entries/alpha/2,"Ἀαγές"
http://www.stoa.org/sol-entries/alpha/3,"Ἀαδεῖν"
http://www.stoa.org/sol-entries/alpha/4,"Ἀάλιον"
http://www.stoa.org/sol-entries/alpha/5,"Ἄαπτος"
http://www.stoa.org/sol-entries/alpha/6,"Ἀαρών"
http://www.stoa.org/sol-entries/alpha/7,"Ἀασάμην"
http://www.stoa.org/sol-entries/alpha/8,"Ἀάσαι"
http://www.stoa.org/sol-entries/alpha/9,"Ἀάσχετος"
http://www.stoa.org/sol-entries/alpha/10,"Ἀββᾶ"
http://www.stoa.org/sol-entries/alpha/11,"Ἀβάκησαν"
http://www.stoa.org/sol-entries/alpha/12,"Ἀββακούμ"
http://www.stoa.org/sol-entries/alpha/13,"Ἀβάλε"
http://www.stoa.org/sol-entries/alpha/14,"Ἄβαλεν"
http://www.stoa.org/sol-entries/alpha/15,"Ἀβάντειος"
http://www.stoa.org/sol-entries/alpha/16,"Ἄβαξι"
http://www.stoa.org/sol-entries/alpha/17,"Ἄβαπτος"
http://www.stoa.org/sol-entries/alpha/18,"Ἄβαρις"
http://www.stoa.org/sol-entries/alpha/19,"Ἀβαρνίς"
http://www.stoa.org/sol-entries/alpha/20,"Ἄβας"
http://www.stoa.org/sol-entries/alpha/21,"Ἀβασάνιστος"
http://www.stoa.org/sol-entries/alpha/22,"Ἀβάσκανος"
http://www.stoa.org/sol-entries/alpha/23,"Ἄβατον"
http://www.stoa.org/sol-entries/alpha/24,"Ἀβαχθανῆ"
http://www.stoa.org/sol-entries/alpha/25,"Ἀβδέλυκτα"
http://www.stoa.org/sol-entries/alpha/26,"Ἄβδηρα"
http://www.stoa.org/sol-entries/alpha/27,"Ἀβδιού"
http://www.stoa.org/sol-entries/alpha/28,"Ἀβέβαιος"
http://www.stoa.org/sol-entries/alpha/29,"Ἀβέβηλα"
http://www.stoa.org/sol-entries/alpha/30,"Ἄβελ"
http://www.stoa.org/sol-entries/alpha/31,"Ἀβελτεροκόκκυξ"
http://www.stoa.org/sol-entries/alpha/32,"Ἀβέλτερος"
http://www.stoa.org/sol-entries/alpha/33,"Ἀβελτερώτατοι"
http://www.stoa.org/sol-entries/alpha/34,"Ἀβέρβηλος"
http://www.stoa.org/sol-entries/alpha/35,"Ἀβεσαλώμ"
http://www.stoa.org/sol-entries/alpha/36,"Ἀβειρών"
http://www.stoa.org/sol-entries/alpha/37,"Ἀβηρωθαῖος"
http://www.stoa.org/sol-entries/alpha/38,"Ἀβής"
http://www.stoa.org/sol-entries/alpha/39,"Ἀβιά"
http://www.stoa.org/sol-entries/alpha/40,"Ἀβιαδηνός"
http://www.stoa.org/sol-entries/alpha/41,"Ἀβιάθαρ"
http://www.stoa.org/sol-entries/alpha/42,"Ἀβίας"
http://www.stoa.org/sol-entries/alpha/43,"Ἀβίγας"
http://www.stoa.org/sol-entries/alpha/44,"Ἀβιέζερ"
http://www.stoa.org/sol-entries/alpha/45,"Ἀβιμέλεχ"
http://www.stoa.org/sol-entries/alpha/46,"Ἄβιννα"
http://www.stoa.org/sol-entries/alpha/47,"Ἄβιος"
http://www.stoa.org/sol-entries/alpha/48,"Ἀβιούδ"
http://www.stoa.org/sol-entries/alpha/49,"Ἀβίωτον"
http://www.stoa.org/sol-entries/alpha/50,"Ἀβίωτος"
http://www.stoa.org/sol-entries/alpha/51,"Ἀβισάκ"
http://www.stoa.org/sol-entries/alpha/52,"Ἀβίσαρος"
http://www.stoa.org/sol-entries/alpha/53,"Ἄβιτος"
http://www.stoa.org/sol-entries/alpha/54,"Ἀβλεμέως"
http://www.stoa.org/sol-entries/alpha/55,"Ἀβλεπτήματι"
http://www.stoa.org/sol-entries/alpha/56,"Ἄβληρος"
http://www.stoa.org/sol-entries/alpha/57,"Ἀβλῆτα"
http://www.stoa.org/sol-entries/alpha/58,"Ἀβληχρήν"
